,character_list,dialogue_list,episode_code,word_count
92,Katara, Well... sort of. Not yet.,101,5.0
93,Gran Gran," All right. No more playing. Come on, Katara, you have chores.",101,11.0
94,Katara," I told you! He's the real thing, Gran Gran! I finally found a bender to teach me.",101,17.0
95,Gran Gran," Katara, try not to put all your hopes in this boy.",101,11.0
96,Katara, But he's special. I can tell. I sense he's filled with much wisdom.,101,13.0
97,Aang,  Sthee? Now my tongue ith thuck to my sthaff.,101,9.0
98,Children, Tee hee!,101,2.0
99,Iroh, Again.,101,1.0
100,Zuko, Ha! Heeya!,101,2.0
101,Iroh, No! Power in firebending comes from the breath. Not the muscles. The breath becomes energy in the body. The energy extends past your limbs and becomes fire.  Get it right this time.,101,32.0
102,Zuko, Enough. I've been drilling this sequence all day. Teach me the next set. I'm more than ready.,101,17.0
103,Iroh," No, you are impatient. You have yet to master your basics.  Drill it again!",101,14.0
104,Zuko, Grrrr... huh!  The sages tell us that the Avatar is the last airbender. He must be over a hundred years old by now. He's had a century to master the four elements. I'll need more than basic firebending to defeat him. You WILL teach me the advanced set!,101,48.0
105,Iroh, Very well. But first I must finish my roast duck.  Num num... num...,101,13.0
106,Sokka," Now men, it's important that you show no fear when you face a firebender. In the Water Tribe, we fight to the last man standing. For without courage, how can we call ourselves men?",101,34.0
107,Little Boy, I gotta pee!,101,3.0
108,Sokka," Listen! Until your fathers return from the war, they're counting on you to be the men of this tribe. And that means no potty breaks.",101,25.0
109,Little Boy, But I really gotta go.,101,5.0
110,Sokka, Okay... who else has to go?,101,6.0
111,Katara, Have you seen Aang? Gran Gran said he disappeared over an hour ago.,101,13.0
112,Aang, Wow! Everything freezes in there!,101,5.0
113,Children, Hahaha!,101,1.0
114,Sokka," Ugh! Katara, get him out of here. This lesson is for warriors only.",101,13.0
115,Kid, Wheeee!,101,1.0
116,Sokka, Stop! Stop it right now! What's wrong with you? We don't have time for fun and games with a war going on.,101,22.0
117,Aang, What war? What are you talking about?,101,7.0
118,Sokka," You're kidding, right?",101,3.0
119,Aang, PENGUIN!,101,1.0
120,Sokka," He's kidding, right?<u",101,3.0
121,Katara, Aang?,101,1.0
122,Aang," Oof! Heh heh, I have a way with animals.  Yarp! Yarp yarp! Yarp! Yarp yarp! Yarp!  Haha! Hey, come on little guy. Wanna go sledding?",101,25.0
123,Katara,"  Hahaha... Aang, I'll help you catch a penguin if you teach me waterbending.",101,13.0
124,Aang," You got a deal! Just one little problem. I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?",101,24.0
125,Katara, No. You're looking at the only waterbender on the whole South Pole.,101,12.0
